"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","elevation","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus stejnegeri",120.694755,22.77487,"Taiwan",2020,2,21,"cdround","https://www.inaturalist.org/observations/39035589","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2574227874","39035589",NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Hemidactylus stejnegeri",120.75883,24.179131,NA,2017,5,11,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864146595",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Hemidactylus stejnegeri",120.8369,23.94773,NA,2017,7,24,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864150980",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Hemidactylus stejnegeri",120.979815,24.704751,NA,2016,5,18,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864137089",NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Hemidactylus stejnegeri",120.692,23.6638,NA,2016,10,17,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774450460",NA,"<U+745E><U+9F8D><U+540A><U+6A4B>",NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Hemidactylus stejnegeri",120.8904,23.5877,NA,2016,10,17,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774450461",NA,"<U+6850><U+5B50><U+6797><U+6A4B>",NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Hemidactylus stejnegeri",120.757329,24.157189,NA,2014,4,13,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864118620",NA,NA,NA,NA,NA,NA
"fb93fb10-f1ca-11dd-b2d4-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT","Hemidactylus stejnegeri",120.783333,24.716667,NA,1995,9,26,"cdround,cudc,gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2625267903","00002807","3Km E Luku.Phonix Vally Bird Park.",NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Hemidactylus stejnegeri",121.338293,23.494541,"Hualien County",1987,7,5,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172209","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476688642","R-172209","Pref. Hongye","ASIA","whole animal (ethanol)",NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Hemidactylus stejnegeri",121.344442,23.496192,"Hualien Co.",1986,7,5,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543510149","162099","Hongye City","ASIA","Alcohol",200,"PhysicalObject"
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Hemidactylus stejnegeri",121.5,23.5,"Hualien County",1976,8,11,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:202296","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145510469","MVZ:Herp:202296","Heng-yeh-t'sun [=Hongye]","ASIA","whole organism",NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Hemidactylus stejnegeri",120.503069,23.33435,"Tainan Special Municipality",1909,3,25,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543530772","18066","Kanshirei [= Guanziling]","ASIA","Alcohol",NA,"PhysicalObject"
