"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","year","month","day","issues","references","license","preparations","geodeticDatum","gbifID","type","catalogNumber","locality","stateProvince","county"
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Lycodon aulicus",113.89075,22.226792,"ASIA",2005,7,19,"osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-015140","http://creativecommons.org/publicdomain/zero/1.0/legalcode","skeleton; tissue (undetermined); tissue in EtOH; skin in EtOH","WGS84","1039455274","PhysicalObject","YPM HERR 015140","Shek Pik West",NA,NA
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Lycodon aulicus",113.890483,22.228944,"ASIA",2004,7,10,"txmathi,osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-014714","http://creativecommons.org/publicdomain/zero/1.0/legalcode","10% form.->70% alc.","WGS84","1039487168","PhysicalObject","YPM HERR 014714","Exit north of Shek Pik","Hong Kong","Lantau Island"
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Lycodon aulicus",113.988477,22.194992,"ASIA",2000,7,3,"txmathi,osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-009823","http://creativecommons.org/publicdomain/zero/1.0/legalcode","10% form.->70% alc.","WGS84","1039488027","PhysicalObject","YPM HERR 009823","site A",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Lycodon aulicus",113.989091,22.194916,"ASIA",1990,7,10,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-175966","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476712068",NA,"R-175966","Shek Kwu Chau","Hong Kong",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Lycodon aulicus",113.931633,22.227624,"ASIA",1990,8,5,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-175965","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476500276",NA,"R-175965","Lantau,Tong Fuk","Hong Kong",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Lycodon aulicus",113.948821,22.236201,"ASIA",1990,8,10,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-175964","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476710067",NA,"R-175964","Lantau,Cheung Sha","Hong Kong",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Lycodon aulicus",108.032963,30.29402,"ASIA",1988,5,15,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-173506","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476707825",NA,"R-173506","Chung Hom Kok Peninsula","Hong Kong",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Lycodon aulicus",113.893945,22.281546,"ASIA",1988,5,14,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-173294","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476709623",NA,"R-173294","San Shek Wan","Hong Kong","New Territories"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Lycodon aulicus",113.976304,22.242365,"ASIA",1987,3,19,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172822","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476712237",NA,"R-172822","Lantau, Pui O","Hong Kong",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Lycodon aulicus",114.112347,22.225567,"ASIA",1987,5,15,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172820","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476712139",NA,"R-172820","Lamma Island, Yung Shue Wan","Hong Kong",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Lycodon aulicus",114.134147,22.32129,"ASIA",1987,5,4,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172821","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476712236",NA,"R-172821","Stonecutter's Island (Ngong Shuen Chan)","Hong Kong",NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Lycodon aulicus",114.144525,22.291667,"ASIA",1941,2,NA,"cdround,txmathi",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","Alcohol","WGS84","543720053","PhysicalObject","13128",NA,"Hong Kong",NA
