"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","county","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.96809,24.473401,"Okinawa",2022,4,29,"cdround","https://www.inaturalist.org/observations/114166198","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773364905","114166198",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.762947,24.333654,"Okinawa",2022,5,7,"cdround","https://www.inaturalist.org/observations/117462490","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784852437","117462490",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.910883,24.327011,"Okinawa",2022,5,4,"cdround","https://www.inaturalist.org/observations/118382914","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802544345","118382914",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.919296,24.367992,"Okinawa",2022,5,5,"cdround","https://www.inaturalist.org/observations/118033275","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802680670","118033275",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",124.086769,24.336451,"Okinawa",2021,5,4,"cdround","https://www.inaturalist.org/observations/78708157","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3117842646","78708157",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",124.093714,24.33403,"Okinawa",2021,5,4,"cdround","https://www.inaturalist.org/observations/78707308","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3118281688","78707308",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.910002,24.328701,"Okinawa",2021,5,1,"cdround","https://www.inaturalist.org/observations/78706805","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3118355648","78706805",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.853378,24.400008,"Okinawa",2020,3,27,"cdround","https://www.inaturalist.org/observations/92236177","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3344109502","92236177",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.796676,24.421625,"Okinawa",2019,7,22,"","https://www.inaturalist.org/observations/29853752","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2311390634","29853752",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",127.687882,26.098902,"Okinawa",2018,10,7,"cdround","https://www.inaturalist.org/observations/73516345","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090715282","73516345",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",127.686011,26.098881,"Okinawa",2018,10,8,"cdround","https://www.inaturalist.org/observations/73516562","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090887312","73516562",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.917644,24.370852,"Okinawa",2015,7,6,"cdround","https://www.inaturalist.org/observations/60354486","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868150267","60354486",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.829529,24.341392,"Okinawa",2015,7,4,"cdround","https://www.inaturalist.org/observations/60354474","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868199449","60354474",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.806297,24.355419,"Okinawa",2015,7,3,"cdround","https://www.inaturalist.org/observations/60354432","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868255373","60354432",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.916838,24.337866,"Okinawa",2015,7,5,"cdround","https://www.inaturalist.org/observations/60354484","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868276424","60354484",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.806142,24.355332,"Okinawa",2015,7,3,"cdround","https://www.inaturalist.org/observations/60354426","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868320464","60354426",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.805906,24.355345,"Okinawa",2015,7,3,"cdround","https://www.inaturalist.org/observations/60354431","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868362383","60354431",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.908339,24.372376,"Okinawa",2015,7,5,"cdround","https://www.inaturalist.org/observations/60354441","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868376382","60354441",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.897483,24.303295,"Okinawa",2015,7,6,"cdround","https://www.inaturalist.org/observations/60354450","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868394392","60354450",NA,NA,NA,NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Protobothrops elegans",124.194,24.4515,NA,2013,8,9,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2249661021",NA,NA,NA,NA,NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Protobothrops elegans",123.878,24.2764,NA,2013,8,12,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2249662519",NA,NA,NA,NA,NA,NA
"d8cd16ba-bb74-4420-821e-083f2bac17c2","MATERIAL_SAMPLE","PRESENT","Protobothrops elegans",123.879997,24.280001,NA,2013,8,12,"gass84","https://www.ebi.ac.uk/ena/browser/view/LC073748","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3348540552",NA,"Okinawa, Iriomote",NA,NA,NA,NA
"d8cd16ba-bb74-4420-821e-083f2bac17c2","MATERIAL_SAMPLE","PRESENT","Protobothrops elegans",124.190002,24.450001,NA,2013,8,9,"gass84","https://www.ebi.ac.uk/ena/browser/view/LC073747","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3348586586",NA,"Okinawa, Ishigaki Island",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops elegans",123.868806,24.396778,"Okinawa",2010,9,11,"","https://www.inaturalist.org/observations/18051546","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1944379925","18051546",NA,NA,NA,NA,NA
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","PRESERVED_SPECIMEN","PRESENT","Protobothrops elegans",124.241199,24.465016,"Ryukyu",1987,NA,NA,"colmano,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1987030506","199971","RYUKYO ARCHEPELAGO ISHIGAKI ISLAND","ASIA","FLUID - 1","OKINAWA PREFECTURE","PhysicalObject"
