"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Vipera berus",143.519098,46.622892,"Sakhalin",2018,8,12,"cdround","https://www.inaturalist.org/observations/69204882","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3039229740","69204882",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Vipera berus",104.429436,52.293248,"Irkutsk",2018,8,20,"cdround","https://www.inaturalist.org/observations/68958857","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3039380289","68958857",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Vipera berus",102.778531,52.185533,"Irkutsk",2017,6,11,"","https://www.inaturalist.org/observations/63762546","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2963766138","63762546",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Vipera berus",142.530244,47.99901,"Sakhalin",2016,8,19,"cdround","https://www.inaturalist.org/observations/19610573","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1990488039","19610573",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Vipera berus",127.740337,52.920531,"Amur",2015,6,18,"cdround","https://www.inaturalist.org/observations/17601632","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1931524788","17601632",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Vipera berus",141.849026,46.422324,"Sakhalin",2011,9,6,"cdround","https://www.inaturalist.org/observations/33762691","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3455315662","33762691",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Vipera berus",141.895319,46.426755,"Sakhalin",2009,7,20,"cdround","https://www.inaturalist.org/observations/18627803","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1946333833","18627803",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Vipera berus",102.032274,54.189115,"Irkutsk",2008,5,13,"cdround","https://www.inaturalist.org/observations/90356206","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3337708544","90356206",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Vipera berus",101.676186,54.555291,"Irkutsk",2008,5,11,"cdround","https://www.inaturalist.org/observations/90356161","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3337733459","90356161",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Vipera berus",142.046212,47.016091,"Sakhalin",2000,1,3,"cdround","https://www.inaturalist.org/observations/104800014","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456534077","104800014",NA,NA,NA,NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Vipera berus",142.736028,46.954067,"Sakhalin Oblast",1910,NA,NA,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543610180","26101","ASIA","Alcohol","Yuzhno-Sakhalinsk","PhysicalObject",NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Vipera berus",142.567967,47.058311,"Sakhalin Oblast",NA,NA,NA,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543492027","14579","ASIA","Alcohol","S end of Sakhalin Id.","PhysicalObject",NA
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Vipera berus",142.111,50.8237,"Sakhalin Oblast",NA,NA,NA,"gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1318438873","USNM 14325","ASIA","Ethanol","Dui (= Due)","PhysicalObject","Sakhalin Island"
